number,filename,tempo,scale,chromagram,zero_crossing_rate,spectral_rolloff,spectral_centroid,spectral_bandwidth,rmse,danceability,percentile_10,percentile_90,dynamic_comp
96,supercollider/SC_200401_144816.aiff,172.265625,1.0,0.6515621244448877,0.046236023521167104,4615.944965313088,2426.3235633991635,2664.1511265566096,0.19841913807688347,1.5294353599946686,98.6707457806877,330.1224397784083,5.066663413882999
97,supercollider/SC_200401_145238.aiff,86.1328125,0.0,0.36374858236566254,0.06951319846419016,6768.307636596051,3219.303015057263,3576.7629001353407,0.07402577061602254,1.5770621577915693,-0.16444852047308078,127.08639958746032,6.025916876637482
98,supercollider/SC_200401_145543.aiff,107.666015625,1.0,0.2743821707400985,0.03820681998970876,2782.11727015764,1551.557897214774,1827.0811263899866,0.1019073082966314,1.5829077659771869,128.9486084845406,129.16885784422087,2.0716631149997062
99,supercollider/SC_200401_201155.aiff,129.19921875,0.0,0.3896395875676236,0.0500944761217794,5251.021452387169,2421.426284394038,2656.263985091556,0.1361035258946219,1.685727211864909,113.79138153030458,176.4434645680498,2.233979842259842
100,supercollider/SC_200401_201434.aiff,150.732421875,1.0,0.38043203841705464,0.10440337348903204,9185.220298669336,4007.2683847608337,3909.136798995599,0.12229173096664521,1.259478703264345,80.95614089752692,178.68756177287727,2.460897616472368
101,supercollider/SC_200401_201649.aiff,172.265625,0.0,0.4503440052566492,0.0680710550434282,6917.280582827458,3229.427396973442,3386.147689211365,0.15138168582040792,1.447904080002636,81.51771386403571,230.62154890505252,2.586681763188125
102,supercollider/SC_200401_201906.aiff,86.1328125,1.0,0.24620456199893836,0.051999987151555196,4893.868257948239,2343.3604084521876,2732.039233725496,0.09640300575019858,1.469158511221551,105.63894890097863,118.13921152481038,1.965051875177231
103,supercollider/SC_200401_202214.aiff,107.666015625,0.0,0.41629913960689907,0.011501247209672107,654.9587599907165,509.02570509082113,744.9041690339196,0.22544091501163585,1.4613155384821745,253.89047068212528,351.76857523853596,1.945416434574276
104,supercollider/SC_200401_202416.aiff,129.19921875,1.0,0.4003510575649773,0.015818000968506135,956.7753580861286,645.0342147523355,711.4765293008306,0.27001658152784164,1.43761862610185,349.0741443521638,388.19322666956464,1.2575737086456424
105,supercollider/SC_200401_202617.aiff,150.732421875,0.0,0.400926087641416,0.018600903692371454,1346.7974448262726,854.7052340615851,913.9412277193132,0.2481969701780693,0.9750582472648794,215.89682961837073,410.18948658303964,2.6127952032331194
106,supercollider/SC_200401_202829.aiff,172.265625,1.0,0.3603308008741939,0.026259365916755307,1408.762414266097,1002.0368994533516,1019.2051024240202,0.3597979745541135,1.0263388048859206,447.62761786665664,647.8221278622193,2.470666682271599
107,supercollider/SC_200401_203019.aiff,86.1328125,0.0,0.31384452547084174,0.02354543467934243,1791.5114098027727,1138.3786881702454,1286.9348291901274,0.18050683517642005,1.2350672496766224,197.5743852627776,280.04768407124925,2.9011920482330704
108,supercollider/SC_200401_203226.aiff,107.666015625,1.0,0.3392236992186176,0.019553462736858845,2253.2010371390757,1237.755040186732,1613.8054646912478,0.20185184343645127,1.0858988483793741,213.57713811585657,305.4236939772918,2.222095253427842
109,supercollider/SC_200401_203451.aiff,129.19921875,0.0,0.3962068272572219,0.015062816965220653,942.9095564927393,642.9013101830795,775.9953333447452,0.2914712241469843,1.2198461182342417,274.5197973739343,490.662970484747,2.04871638798668
110,supercollider/SC_200401_203710.aiff,150.732421875,1.0,0.5251675110642247,0.012838900274939525,1192.9072275968065,770.3502023613706,1027.6415470596228,0.27518383573466204,1.366735277980516,192.04336698068693,463.6647217807621,3.155650545473392
111,supercollider/SC_200401_203933.aiff,172.265625,0.0,0.37563822945395753,0.024970793671281258,1699.3420211664704,1099.6753672087675,1294.2429970325918,0.2812817406036894,0.8973464571869159,40.10131874725059,524.6875975910466,3.493539761161716
112,supercollider/SC_200401_204112.aiff,86.1328125,1.0,0.25681770009913685,0.03951469876578277,2224.150100856209,1642.2527149942302,1688.764303542685,0.14782956743123973,1.4689744421462614,30.800350665004355,271.0401551752433,8.267337035667786
113,supercollider/SC_200401_204347.aiff,107.666015625,0.0,0.2978945345725744,0.02295597214996081,2367.6376750347763,1222.2062996367774,1599.0109328224944,0.2503171340357367,1.1526815088111044,257.21650647846957,400.0223649100444,1.608024126685526
